entity_type,entity_id,entity_name,region,days,photo_status,intro_status,menu_or_signature_status,price_status,map_status,site_status,hours_status,reservation_status,day_link_status,guide_link_status,search_status,offline_status,overall_verdict,action_needed
ATTRACTION,le-rocher,---,unknown,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,MISSING_GUIDE_LINK,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,le-suquet,---,unknown,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,MISSING_GUIDE_LINK,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,les-baux-de-provence,---,unknown,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,MISSING_GUIDE_LINK,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,les-cocottes-saint-louis,---,avignon,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
MARKET,les-halles,---,avignon,,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,lourmarin,---,luberon,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,macba,---,barcelona,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
MARKET,marche-convention,---,paris,,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
MARKET,marche-de-la-liberation,---,nice,,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
MARKET,marche-forville,---,unknown,,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MISSING_GUIDE_LINK,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,marseille,---,aix,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,menerbes,---,luberon,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,menton,---,nice,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,mercat-concepcio,---,barcelona,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,mercat-del-lleo,---,unknown,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,MISSING_GUIDE_LINK,COMPLETE,COMPLETE,COMPLETE,NONE
